name,code,latitude,longitude
Milpitas,ML,37.41028236,-121.8910941
Berryessa/North San Jose,BE,37.36847829,-121.8746938
Civic Center/UN Plaza,CC,37.77939386,-122.4139364
Concord,CN,37.97382499,-122.029062
Colma,CM,37.68462161,-122.4662232
El Cerrito Plaza,EP,37.90263523,-122.2989484
Daly City,DC,37.70633321,-122.4689119
North Concord/Martinez,NC,38.00332452,-122.0245523
Fremont,FM,37.55747443,-121.9766264
Glen Park,GP,37.73311239,-122.4337901
Hayward,HY,37.66969738,-122.08696
El Cerrito del Norte,EN,37.92519242,-122.3169151
Coliseum,CL,37.75368875,-122.1968592
Downtown Berkeley,BK,37.87031611,-122.2681588
Bay Fair,BF,37.6969162,-122.1264596
Balboa Park,BP,37.72135059,-122.4475874
San Bruno,SB,37.63770374,-122.4162667
South Hayward,SH,37.63435057,-122.0571973
Walnut Creek,WC,37.90581393,-122.0673294
North Berkeley,NB,37.87400976,-122.2835441
Orinda,OR,37.87843137,-122.1837537
West Oakland,OW,37.80488709,-122.2951608
San Leandro,SL,37.72178541,-122.1607507
16th St/Mission,16,37.76505424,-122.4197081
24th St/Mission,24,37.75223145,-122.4184679
12th St/Oakland City Center,12,37.80359016,-122.271676
Union City,UC,37.59073432,-122.017256
West Dublin/Pleasanton,WD,37.6997507,-121.9280771
Millbrae,MB,37.6001941,-122.3868505
Montgomery St,MT,37.78944952,-122.4011747
Dublin/Pleasanton,ED,37.70168178,-121.899074
Lake Merritt,LM,37.79729295,-122.2652268
Pleasant Hill,PH,37.9284418,-122.0559784
MacArthur,MA,37.8290833,-122.2670635
Powell St,PL,37.7848709,-122.4070177
Richmond,RM,37.93676313,-122.3529766
Rockridge,RR,37.84473931,-122.2513146
San Francisco International Airport,SO,37.61599768,-122.3924141
Embarcadero,EM,37.79285391,-122.396901
Pittsburg/Bay Point,WP,38.0189142,-121.9439801
Castro Valley,CV,37.69074798,-122.0756067
Lafayette,LF,37.89318568,-122.1246473
South San Francisco,SS,37.66421054,-122.4439777
19th St/Oakland,19,37.80849329,-122.268654
Ashby,AS,37.85257465,-122.269994
Fruitvale,FV,37.77489446,-122.2241794
Oakland International Airport,OA,37.71297182,-122.2124402
Warm Springs,WS,37.50233497,-121.939433
Coliseum,CL,37.75230497,-122.196183
Antioch,AN,37.99539273,-121.7804334
Pittsburg Center,PC,38.01694606,-121.8894702
